     -1.8771201377 a       198     0    20     1     8
     10.9778513397 a       199     0    20     1     9
     -5.4528455745 a       200     0    20     1    10
      8.8726799370 a       201     0    21     1     1
     12.1907624593 a       202     0    21     1     2
     41.2603234939 a       203     0    21     1     3
     15.8960235865 a       204     0    21     1     4
     14.6791112250 a       205     0    21     1     5
     -8.0080083499 a       206     0    21     1     6
      4.3938100175 a       207     0    21     1     7
      1.3003942353 a       208     0    21     1     8
    -19.9542112794 a       209     0    21     1     9
      0.5106682137 a       210     0    21     1    10
     -3.1838999124 a       211     0    22     1     1
     12.3775509734 a       212     0    22     1     2
     28.0271907343 a       213     0    22     1     3
    -24.0744506410 a       214     0    22     1     4
     32.2036839702 a       215     0    22     1     5
     12.3549114528 a       216     0    22     1     6
     13.8686820246 a       217     0    22     1     7
     35.6915390679 a       218     0    22     1     8
    -15.3569703185 a       219     0    22     1     9
     13.0486713070 a       220     0    22     1    10
     11.7145115955 a       221     0    23     1     1
    -11.3408626635 a       222     0    23     1     2
      1.5202305319 a       223     0    23     1     3
      0.8929933601 a       224     0    23     1     4
     -5.3372543652 a       225     0    23     1     5
     -0.5656031590 a       226     0    23     1     6
     -5.6394145450 a       227     0    23     1     7
     -8.1511824936 a       228     0    23     1     8
      4.3275606407 a       229     0    23     1     9
      5.6369687967 a       230     0    23     1    10
    -32.1501231419 a       231     0    24     1     1
      8.2038906787 a       232     0    24     1     2
    -57.0556817588 a       233     0    24     1     3
     -3.6927783855 a       234     0    24     1     4
    -29.3803505704 a       235     0    24     1     5
     -4.0324338058 a       236     0    24     1     6
      6.0767758607 a       237     0    24     1     7
    -19.7698839879 a       238     0    24     1     8
      0.3723139165 a       239     0    24     1     9
     -8.8153317627 a       240     0    24     1    10
      0.6645370393 a       241     0    25     1     1
     -8.4088478379 a       242     0    25     1     2
     -9.4949247399 a       243     0    25     1     3
     26.4326060045 a       244     0    25     1     4
     -2.5442099900 a       245     0    25     1     5
     16.9991394380 a       246     0    25     1     6
      4.2258839735 a       247     0    25     1     7
     -2.4548758192 a       248     0    25     1     8
    -15.8491787266 a       249     0    25     1     9
      8.0161873824 a       250     0    25     1    10
      5.8658035740 a       251     0    26     1     1
     -1.9889292383 a       252     0    26     1     2
     -5.2257645835 a       253     0    26     1     3
      1.5477287927 a       254     0    26     1     4
     -9.4466318921 a       255     0    26     1     5
     -8.4241065803 a       256     0    26     1     6
     -5.5288587703 a       257     0    26     1     7
     -2.6127846421 a       258     0    26     1     8
     -0.6678586209 a       259     0    26     1     9
    -11.4572787777 a       260     0    26     1    10
      5.1037502568 a       261     0    27     1     1
     -9.1622708939 a       262     0    27     1     2
     -5.4504913312 a       263     0    27     1     3
     18.2206534896 a       264     0    27     1     4
    -10.0891896393 a       265     0    27     1     5
    -14.5488501437 a       266     0    27     1     6
     -1.3554973395 a       267     0    27     1     7
     -9.1443311040 a       268     0    27     1     8
     -5.2911909046 a       269     0    27     1     9
    -11.7038703579 a       270     0    27     1    10
      3.0117216741 a       271     0    28     1     1
     12.8007250200 a       272     0    28     1     2
     12.3181800048 a       273     0    28     1     3
     -8.7975443457 a       274     0    28     1     4
      4.0282666601 a       275     0    28     1     5
    -21.2856834674 a       276     0    28     1     6
     -1.8447404357 a       277     0    28     1     7
     -0.4229393537 a       278     0    28     1     8
     12.7189737447 a       279     0    28     1     9
    -14.3300381848 a       280     0    28     1    10
     -1.8736438044 a       281     0    29     1     1
      7.0194988573 a       282     0    29     1     2
      4.1003947109 a       283     0    29     1     3
      6.6281578227 a       284     0    29     1     4
      2.6630803443 a       285     0    29     1     5
     -8.9599249854 a       286     0    29     1     6
     -1.4488015616 a       287     0    29     1     7
     -6.7300910223 a       288     0    29     1     8
     -9.0513226391 a       289     0    29     1     9
    -12.2049147218 a       290     0    29     1    10
      2.0776855892 a       291     0    30     1     1
      0.6116393600 a       292     0    30     1     2
     -0.8936392298 a       293     0    30     1     3
     -2.7162186869 a       294     0    30     1     4
      1.7255521712 a       295     0    30     1     5
     -6.8992867322 a       296     0    30     1     6
     -2.3814519447 a       297     0    30     1     7
     -1.3962794096 a       298     0    30     1     8
     -8.5307810534 a       299     0    30     1     9
     -7.7872126514 a       300     0    30     1    10
     -5.3424867922 a       301     0    31     1     1
      9.3220019219 a       302     0    31     1     2
     -4.4638676801 a       303     0    31     1     3
      6.2457701739 a       304     0    31     1     4
      0.9737162966 a       305     0    31     1     5
      1.8196984810 a       306     0    31     1     6
     -1.9075367742 a       307     0    31     1     7
     -0.0053832799 a       308     0    31     1     8
     -5.3382152417 a       309     0    31     1     9
     -6.4379320312 a       310     0    31     1    10
     -3.2995668601 a       311     0    32     1     1
      1.6928126148 a       312     0    32     1     2
      8.8673094962 a       313     0    32     1     3
     -1.6626091509 a       314     0    32     1     4
      7.2669214197 a       315     0    32     1     5
     -7.0328616632 a       316     0    32     1     6
      5.2986711238 a       317     0    32     1     7
      5.3255913594 a       318     0    32     1     8
     -2.9726963143 a       319     0    32     1     9
    -11.1566659580 a       320     0    32     1    10
      8.1522975041 a       321     0    33     1     1
     -8.8721980929 a       322     0    33     1     2
      6.5937786351 a       323     0    33     1     3
      9.0825227947 a       324     0    33     1     4
      4.2690472277 a       325     0    33     1     5
     -0.2274033583 a       326     0    33     1     6
      6.9638580088 a       327     0    33     1     7
     -1.9763701492 a       328     0    33     1     8
     -4.4721104267 a       329     0    33     1     9
      7.7100738603 a       330     0    33     1    10
      4.0239780236 a       331     0    34     1     1
     -8.1996173053 a       332     0    34     1     2
     -3.7983817180 a       333     0    34     1     3
     -6.7740523840 a       334     0    34     1     4
     -4.7922560831 a       335     0    34     1     5
     -2.9428853616 a       336     0    34     1     6
      5.7231693954 a       337     0    34     1     7
     -4.6864130633 a       338     0    34     1     8
      1.7409172950 a       339     0    34     1     9
      0.6709822940 a       340     0    34     1    10
     -1.3785175685 a       341     0    35     1     1
     -1.1664386297 a       342     0    35     1     2
      4.3490718713 a       343     0    35     1     3
      3.9892053758 a       344     0    35     1     4
     -0.4895760023 a       345     0    35     1     5
      0.0825012408 a       346     0    35     1     6
     -1.9249076396 a       347     0    35     1     7
      5.0940561575 a       348     0    35     1     8
    -12.2354131906 a       349     0    35     1     9
      2.6846388595 a       350     0    35     1    10
     -7.0769342748 a       351     0    36     1     1
     -7.7242757695 a       352     0    36     1     2
     -3.0757514794 a       353     0    36     1     3
      2.3903011918 a       354     0    36     1     4
     -1.0107827564 a       355     0    36     1     5
      3.4552940448 a       356     0    36     1     6
      4.4155496502 a       357     0    36     1     7
     -2.2598573573 a       358     0    36     1     8
     -3.9677348729 a       359     0    36     1     9
      7.1048819461 a       360     0    36     1    10
     15.3906784855 a       361     0    37     1     1
      3.3946491237 a       362     0    37     1     2
     -8.5920986093 a       363     0    37     1     3
    -12.9395617278 a       364     0    37     1     4
     -2.7559720438 a       365     0    37     1     5
     -2.4972716093 a       366     0    37     1     6
      4.5780211679 a       367     0    37     1     7
     10.6769629287 a       368     0    37     1     8
      6.0238404372 a       369     0    37     1     9
     -3.0368482060 a       370     0    37     1    10
      6.2241421467 a       371     0    38     1     1
     -6.6092533485 a       372     0    38     1     2
     -1.5092531642 a       373     0    38     1     3
     11.7698949055 a       374     0    38     1     4
     -6.6148085562 a       375     0    38     1     5
      4.4169164239 a       376     0    38     1     6
     -2.7308852208 a       377     0    38     1     7
      0.0530121569 a       378     0    38     1     8
     -4.3863716286 a       379     0    38     1     9
      0.6645403138 a       380     0    38     1    10
     -4.9584633631 a       381     0    39     1     1
      0.8998592323 a       382     0    39     1     2
    -17.3031955377 a       383     0    39     1     3
      9.5611218016 a       384     0    39     1     4
     -4.7420797871 a       385     0    39     1     5
     15.2871217792 a       386     0    39     1     6
    -34.7154390883 a       387     0    39     1     7
     14.6353202855 a       388     0    39     1     8
    -12.7587150017 a       389     0    39     1     9
      8.4147603227 a       390     0    39     1    10
      1.6445495387 a       391     0    40     1     1
      4.3239212192 a       392     0    40     1     2
     -2.0515444075 a       393     0    40     1     3
     -3.8170429322 a       394     0    40     1     4
      3.9230778088 a       395     0    40     1     5
    -11.1759871868 a       396     0    40     1     6
     -2.6828942867 a       397     0    40     1     7
     -4.9891755813 a       398     0    40     1     8
     -4.7300447224 a       399     0    40     1     9
     -7.7469800819 a       400     0    40     1    10
      6.1842671660 a       401     0    41     1     1
     14.1748098299 a       402     0    41     1     2
      6.3494120987 a       403     0    41     1     3
     -6.8322278444 a       404     0    41     1     4
     -1.6023384395 a       405     0    41     1     5
     -6.7978652244 a       406     0    41     1     6
      0.8395511116 a       407     0    41     1     7
     -5.4864571316 a       408     0    41     1     8
     11.9185412223 a       409     0    41     1     9
     -4.8745111752 a       410     0    41     1    10
      8.5753235653 a       411     0    42     1     1
     -0.9552022696 a       412     0    42     1     2
     16.4898824581 a       413     0    42     1     3
     -0.7527471245 a       414     0    42     1     4
      5.9663250678 a       415     0    42     1     5
    -11.9677131997 a       416     0    42     1     6
     10.1107330395 a       417     0    42     1     7
    -16.3877814420 a       418     0    42     1     8
     -4.4883654447 a       419     0    42     1     9
     -9.9083547167 a       420     0    42     1    10
     -3.5890236051 a       421     0    43     1     1
     17.0674887370 a       422     0    43     1     2
     -1.4427786319 a       423     0    43     1     3
     -5.9766666093 a       424     0    43     1     4
      2.0520690678 a       425     0    43     1     5
     -6.5041796515 a       426     0    43     1     6
     -2.5224193142 a       427     0    43     1     7
      2.0282182478 a       428     0    43     1     8
      0.2933413742 a       429     0    43     1     9
    -11.6400378288 a       430     0    43     1    10
     -5.5617801069 a       431     0    44     1     1
      1.0160309291 a       432     0    44     1     2
     11.9503864083 a       433     0    44     1     3
     -0.1844623413 a       434     0    44     1     4
     13.7778624216 a       435     0    44     1     5
     -5.1582733135 a       436     0    44     1     6
      8.5708042354 a       437     0    44     1     7
      8.6317634908 a       438     0    44     1     8
     -5.8483979419 a       439     0    44     1     9
     -9.1752212093 a       440     0    44     1    10
      6.0367555807 a       441     0    45     1     1
     -8.4302477777 a       442     0    45     1     2
      7.4786603389 a       443     0    45     1     3
      4.1519125116 a       444     0    45     1     4
      7.0334954084 a       445     0    45     1     5
      8.9758999233 a       446     0    45     1     6
      2.7411427551 a       447     0    45     1     7
      4.9107935376 a       448     0    45     1     8
     -4.5879012076 a       449     0    45     1     9
     16.6614506739 a       450     0    45     1    10
      2.9701272833 a       451     0    46     1     1
    -15.5982902727 a       452     0    46     1     2
    -10.9470668694 a       453     0    46     1     3
     -4.7021682258 a       454     0    46     1     4
